001;split1;2;0.000001;30
002;split2;2;0.000001;30
003;split3;2;0.000001;30
004;split4;2;0.000001;30
005;split5;2;0.000001;30
006;split1;2;0.00001;30
007;split2;2;0.00001;30
008;split3;2;0.00001;30
009;split4;2;0.00001;30
010;split5;2;0.00001;30
011;split1;2;0.0001;30
012;split2;2;0.0001;30
013;split3;2;0.0001;30
014;split4;2;0.0001;30
015;split5;2;0.0001;30
016;split1;2;0.001;30
017;split2;2;0.001;30
018;split3;2;0.001;30
019;split4;2;0.001;30
020;split5;2;0.001;30
021;split1;2;0.01;30
022;split2;2;0.01;30
023;split3;2;0.01;30
024;split4;2;0.01;30
025;split5;2;0.01;30
026;split1;1;0.00001;30
027;split2;1;0.00001;30
028;split3;1;0.00001;30
029;split4;1;0.00001;30
030;split5;1;0.00001;30
031;split1;4;0.00001;30
032;split2;4;0.00001;30
033;split3;4;0.00001;30
034;split4;4;0.00001;30
035;split5;4;0.00001;30
036;split1;8;0.00001;30
037;split2;8;0.00001;30
038;split3;8;0.00001;30
039;split4;8;0.00001;30
040;split5;8;0.00001;30
041;split1;16;0.00001;30
042;split2;16;0.00001;30
043;split3;16;0.00001;30
044;split4;16;0.00001;30
045;split5;16;0.00001;30
